노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,경도,위도
NODE,POINT(126.94693487193493 37.556998175752156),56273,0.0,,0,,,,,1141000000,서대문구,1141011200,대현동,126.94693487193491,37.55699817575216
NODE,POINT(126.95021196090049 37.58295380087517),19338,0.0,,0,,,,,1141000000,서대문구,1141011100,홍제동,126.95021196090048,37.58295380087517
NODE,POINT(126.95072444069838 37.582024875459226),19349,0.0,,0,,,,,1141000000,서대문구,1141011100,홍제동,126.95072444069838,37.582024875459226
NODE,POINT(126.92559250102704 37.566230549886804),20295,0.0,,0,,,,,1141000000,서대문구,1141011700,연희동,126.92559250102704,37.5662305498868
NODE,POINT(126.94792144536275 37.58509258125773),23948,0.0,,0,,,,,1141000000,서대문구,1141011100,홍제동,126.94792144536277,37.58509258125773
NODE,POINT(126.92527059917084 37.57651581335913),19685,0.0,,0,,,,,1141000000,서대문구,1141012000,남가좌동,126.92527059917084,37.57651581335913
NODE,POINT(126.9499244685253 37.58284383015658),19692,2.0,,0,,,,,1141000000,서대문구,1141011100,홍제동,126.9499244685253,37.58284383015658
NODE,POINT(126.94887076883624 37.58461240657942),23987,0.0,,0,,,,,1141000000,서대문구,1141011100,홍제동,126.94887076883624,37.58461240657942
NODE,POINT(126.94857755210786 37.58445665968041),23989,0.0,,0,,,,,1141000000,서대문구,1141011100,홍제동,126.94857755210786,37.58445665968041
NODE,POINT(126.92551889116326 37.566528775119885),22110,0.0,,0,,,,,1141000000,서대문구,1141011700,연희동,126.92551889116326,37.566528775119885
NODE,POINT(126.95215172781005 37.557334519534514),25150,0.0,,0,,,,,1141000000,서대문구,1141011000,북아현동,126.95215172781003,37.557334519534514
NODE,POINT(126.95662349217206 37.59684072553357),25163,0.0,,0,,,,,1141000000,서대문구,1141011100,홍제동,126.95662349217206,37.59684072553357
NODE,POINT(126.9241112664176 37.57734222562369),19614,0.0,,0,,,,,1141000000,서대문구,1141012000,남가좌동,126.9241112664176,37.57734222562369
NODE,POINT(126.92405884579036 37.57724227166753),19627,0.0,,0,,,,,1141000000,서대문구,1141012000,남가좌동,126.92405884579036,37.57724227166753
