순위,행정동,노드ID,총점,도로점수,교차로점수,대로변일치점수,고령자점수,쉼터점수,경도,위도
55,신촌동,111868,9.0,3.0,3.0,2.0,1.0,0.0,126.94301966309219,37.55689107868268
56,홍은2동,81983,9.0,3.0,2.0,2.0,2.0,0.0,126.93606428002904,37.58041596823549
57,홍은2동,81989,9.0,3.0,2.0,2.0,2.0,0.0,126.93630005265283,37.580443557986385
58,연희동,81996,9.0,3.0,2.0,2.0,2.0,0.0,126.93599064785147,37.57909316134114
59,연희동,84013,9.0,3.0,2.0,2.0,2.0,0.0,126.93248679511717,37.577434929597906
60,홍은2동,84076,9.0,3.0,2.0,2.0,2.0,0.0,126.93567511984833,37.58821504125655
61,홍은2동,84077,9.0,3.0,2.0,2.0,2.0,0.0,126.9358305224463,37.5880915457109
62,연희동,102097,9.0,3.0,2.0,2.0,2.0,0.0,126.93620921006749,37.57906581735757
63,연희동,183901,9.0,3.0,2.0,2.0,2.0,0.0,126.93238886527608,37.57724276877085
64,천연동,72128,8.0,3.0,3.0,2.0,0.0,0.0,126.96161262250972,37.568744024166506
65,천연동,72130,8.0,3.0,3.0,2.0,0.0,0.0,126.96187721927366,37.56857475877742
66,천연동,72136,8.0,3.0,3.0,2.0,0.0,0.0,126.96172773946556,37.56852436278002
67,천연동,72144,8.0,3.0,3.0,2.0,0.0,0.0,126.96175061625993,37.56876695424262
68,북가좌1동,150032,8.0,3.0,3.0,2.0,0.0,0.0,126.90665538124301,37.579832989691155
69,북가좌1동,149534,8.0,3.0,3.0,2.0,0.0,0.0,126.90600245983832,37.580212639282934
70,신촌동,56273,8.0,3.0,2.0,2.0,1.0,0.0,126.94693487193493,37.556998175752156
71,신촌동,56275,8.0,3.0,2.0,2.0,1.0,0.0,126.9469558875388,37.55687261852983
72,북아현동,71640,8.0,3.0,2.0,2.0,1.0,0.0,126.95507208045109,37.55752740245238
73,남가좌1동,80402,8.0,3.0,2.0,2.0,1.0,0.0,126.91836443803534,37.57004570862598
74,남가좌1동,80403,8.0,3.0,2.0,2.0,1.0,0.0,126.91847816855828,37.57011730370696
75,신촌동,99348,8.0,3.0,2.0,2.0,1.0,0.0,126.94503809978379,37.556898526425876
76,신촌동,141226,8.0,3.0,2.0,2.0,1.0,0.0,126.93615389411374,37.55553903596073
77,홍은2동,40882,8.0,3.0,0.0,2.0,2.0,1.0,126.9281317453203,37.580156877933824
78,홍은2동,40942,8.0,3.0,0.0,2.0,2.0,1.0,126.92832333901191,37.58027142062044
79,홍제1동,81941,8.0,3.0,0.0,2.0,2.0,1.0,126.93739361058748,37.582869977920176
80,연희동,81942,8.0,3.0,0.0,2.0,2.0,1.0,126.93750875924195,37.58272357346082
81,충현동,77988,7.0,3.0,2.0,2.0,0.0,0.0,126.96598395051186,37.56620509714449
82,충현동,84482,7.0,3.0,2.0,2.0,0.0,0.0,126.96603295004151,37.56627771295116
83,연희동,20295,7.0,3.0,0.0,2.0,2.0,0.0,126.92559250102704,37.566230549886804
84,남가좌2동,19685,7.0,3.0,0.0,2.0,2.0,0.0,126.92527059917084,37.57651581335913
85,연희동,22110,7.0,3.0,0.0,2.0,2.0,0.0,126.92551889116326,37.566528775119885
86,남가좌2동,19614,7.0,3.0,0.0,2.0,2.0,0.0,126.9241112664176,37.57734222562369
87,남가좌2동,19627,7.0,3.0,0.0,2.0,2.0,0.0,126.92405884579036,37.57724227166753
88,홍은2동,56954,7.0,3.0,0.0,2.0,2.0,0.0,126.93502083599421,37.586589832820444
89,홍은2동,56956,7.0,3.0,0.0,2.0,2.0,0.0,126.93479649176116,37.58662632545252
90,연희동,54832,7.0,3.0,0.0,2.0,2.0,0.0,126.92734901141561,37.565038891433694
91,연희동,55147,7.0,3.0,0.0,2.0,2.0,0.0,126.93066285998388,37.56300866927883
92,연희동,55148,7.0,3.0,0.0,2.0,2.0,0.0,126.93099041187678,37.563210251884065
93,연희동,61813,7.0,3.0,0.0,2.0,2.0,0.0,126.931595109572,37.562151014032466
94,홍은2동,81421,7.0,3.0,0.0,2.0,2.0,0.0,126.93506576863129,37.58121182947596
95,홍은2동,81422,7.0,3.0,0.0,2.0,2.0,0.0,126.93527296181408,37.58103801546885
96,남가좌2동,80579,7.0,3.0,0.0,2.0,2.0,0.0,126.92292895834157,37.57753956704224
97,홍제3동,25163,7.0,3.0,0.0,2.0,1.0,1.0,126.95662349217206,37.59684072553357
98,신촌동,56280,7.0,3.0,0.0,2.0,1.0,1.0,126.94324021449509,37.56263226517024
99,신촌동,56281,7.0,3.0,0.0,2.0,1.0,1.0,126.9434916021059,37.562849796192936
100,신촌동,56282,7.0,3.0,0.0,2.0,1.0,1.0,126.94379320297419,37.56319894110657
